Data supplied by UK-AIR on 20/3/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2023,01:00,,,,12.44914,R,ugm-3,33.71224,R,ugm-3,52.80065,R,ugm-3,,,
01-01-2023,02:00,,,,,,,,,,,,,,,
01-01-2023,03:00,,,,1.35099,R,ugm-3,5.08184,R,ugm-3,7.15334,R,ugm-3,,,
01-01-2023,04:00,,,,0.87064,R,ugm-3,3.90147,R,ugm-3,5.23643,R,ugm-3,,,
01-01-2023,05:00,,,,1.29095,R,ugm-3,3.58428,R,ugm-3,5.56371,R,ugm-3,,,
01-01-2023,06:00,,,,1.08079,R,ugm-3,3.95327,R,ugm-3,5.61046,R,ugm-3,,,
01-01-2023,07:00,,,,0.57042,R,ugm-3,2.86568,R,ugm-3,3.74031,R,ugm-3,,,
01-01-2023,08:00,,,,0.57042,R,ugm-3,2.95918,R,ugm-3,3.83381,R,ugm-3,,,
01-01-2023,09:00,,,,1.26093,R,ugm-3,4.42513,R,ugm-3,6.35852,R,ugm-3,,,
01-01-2023,10:00,,,,1.02075,R,ugm-3,4.74664,R,ugm-3,6.31177,R,ugm-3,,,
01-01-2023,11:00,,,,1.47108,R,ugm-3,6.20682,R,ugm-3,8.46244,R,ugm-3,,,
01-01-2023,12:00,,,,2.79205,R,ugm-3,10.68014,R,ugm-3,14.96122,R,ugm-3,,,
01-01-2023,13:00,,,,3.72273,R,ugm-3,12.61939,R,ugm-3,18.32750,R,ugm-3,,,
01-01-2023,14:00,,,,3.18234,R,ugm-3,12.93369,R,ugm-3,17.81321,R,ugm-3,,,
01-01-2023,15:00,,,,3.36247,R,ugm-3,11.95619,R,ugm-3,17.11190,R,ugm-3,,,
01-01-2023,16:00,,,,2.55187,R,ugm-3,11.42244,R,ugm-3,15.33525,R,ugm-3,,,
01-01-2023,17:00,,,,6.60485,R,ugm-3,24.19001,R,ugm-3,34.31731,R,ugm-3,,,
01-01-2023,18:00,,,,6.45474,R,ugm-3,23.90589,R,ugm-3,33.80301,R,ugm-3,,,
01-01-2023,19:00,,,,14.32051,R,ugm-3,36.71824,R,ugm-3,58.67605,R,ugm-3,,,
01-01-2023,20:00,,,,19.87459,R,ugm-3,42.60228,R,ugm-3,73.07623,R,ugm-3,,,
01-01-2023,21:00,,,,8.01588,R,ugm-3,30.86293,R,ugm-3,43.15378,R,ugm-3,,,
01-01-2023,22:00,,,,7.20529,R,ugm-3,31.45127,R,ugm-3,42.49923,R,ugm-3,,,
01-01-2023,23:00,,,,9.15672,R,ugm-3,35.05141,R,ugm-3,49.09151,R,ugm-3,,,
01-01-2023,24:00,,,,18.91388,R,ugm-3,43.18702,R,ugm-3,72.18790,R,ugm-3,,,
02-01-2023,01:00,,,,26.33401,R,ugm-3,43.01046,R,ugm-3,83.38871,R,ugm-3,,,
02-01-2023,02:00,,,,,,,,,,,,,,,
02-01-2023,03:00,,,,1.65088,R,ugm-3,13.76966,R,ugm-3,16.30097,R,ugm-3,,,
02-01-2023,04:00,,,,1.02054,R,ugm-3,6.98269,R,ugm-3,8.54750,R,ugm-3,,,
02-01-2023,05:00,,,,2.40128,R,ugm-3,9.34952,R,ugm-3,13.03143,R,ugm-3,,,
