median_increment,p90_increment,valid_hours,km_from_centre,site_type
0.64,2.22,17686,2.96,residential
1.07,3.5,14684,0.68,commercial / kerbside
0.56,2.1,15741,2.65,school
0.0,1.1,14936,7.75,school
0.49,2.28,28239,11.34,school
0.18,1.53,18367,15.31,school
0.48,1.58,4391,5.76,open / rural
0.47,1.75,18805,8.15,residential
0.75,3.3,28579,7.41,residential
1.05,4.4,12564,10.59,commercial / kerbside
0.24,1.45,22325,8.38,commercial / kerbside
0.04,1.51,11745,8.27,commercial / kerbside
1.48,4.56,22860,6.64,residential
0.78,3.0,18142,7.47,residential
0.88,3.37,13763,12.27,residential
0.0,1.4,15511,7.35,residential
0.33,1.7,8635,14.98,residential
0.43,2.07,31515,17.83,commercial / kerbside
0.48,2.13,26090,4.35,residential
0.5,1.76,19129,2.47,residential
1.1,3.15,27237,0.81,residential
0.03,1.27,2709,11.71,open / rural
0.19,2.31,5787,7.48,school
0.27,1.0,850,0.22,commercial / kerbside
0.46,2.56,5200,2.58,residential
0.39,2.3,12994,7.45,residential
0.61,2.27,12820,5.46,residential
0.79,3.95,18153,1.65,commercial / kerbside
0.23,1.8,3087,10.09,open / rural
0.4,2.11,5929,15.21,open / rural
1.12,3.44,10459,1.95,school
0.55,2.31,18900,3.79,open / rural
0.46,2.97,9279,3.59,commercial / kerbside
0.81,3.11,15930,6.61,residential
0.26,1.78,19238,13.49,residential
0.47,1.87,8234,15.2,open / rural
-0.22,0.32,22061,12.34,open / rural
2.22,24.44,7096,16.96,open / rural
0.38,3.24,2550,19.21,open / rural
0.82,2.84,12057,6.34,open / rural
1.5,3.74,15307,0.21,commercial / kerbside
0.83,1.88,766,12.27,residential
0.39,3.55,1023,5.06,open / rural
0.43,1.5,13566,4.57,residential
0.73,2.07,8726,2.77,school
0.68,2.73,13810,17.71,commercial / kerbside
