low_f0,high_f0,low_f0.5,high_f0.5,low_f1,high_f1,low_f2,high_f2,low_f5,high_f5,sensor,rows,duplicates,n_implausible,n_ab_total,n_ab_highband,n_ab_lowband,n_highband,pct_ab_highband,n_flatline,n_zero_run,pct_flatline,n_clean,pct_clean,pct_ab_flag,pm_a_max_raw,pm_a_max_clean
48.8,97.9,34.8,97.9,28.5,97.9,19.1,95.4,5.9,70.1,SL018_East_Ardsley_A650,632321,0,17874,320028,197439,122589,201755,97.9,0,28153,0.0,312293,49.4,50.6,3398.8,493.9
34.0,97.9,20.6,97.9,14.3,97.8,4.7,94.2,0.9,58.9,SL008_Westgate_Primary,771477,3,857,256996,171864,85132,175755,97.8,0,78424,0.0,514481,66.7,33.3,3333.0,220.5
24.8,97.8,8.8,97.8,4.3,97.7,2.0,97.0,1.0,95.6,SL037,920665,3,748869,774581,768853,5728,786685,97.7,0,9596,0.0,145904,15.8,84.1,3407.9,344.6
13.5,94.3,5.7,94.3,3.3,94.1,0.9,89.3,0.3,45.0,SL030,12491,0,0,3159,2850,309,3029,94.1,0,4449,0.0,9332,74.7,25.3,72.6,40.4
38.2,92.9,23.6,92.9,18.0,92.7,10.2,85.8,1.6,46.4,SL011,832625,18,455,290382,174112,116270,187920,92.7,0,89250,0.0,542243,65.1,34.9,1429.1,656.5
38.6,91.6,24.7,91.6,18.9,91.4,11.2,87.0,1.9,68.6,SL001_Sunnyview_Terrace,1038040,38,173199,468718,343512,125206,375711,91.4,0,68969,0.0,569321,54.8,45.2,3402.1,731.3
46.2,90.5,32.9,90.5,26.9,90.5,14.8,85.0,1.4,21.2,SL026,972136,0,0,398342,194195,204147,214595,90.5,0,115113,0.0,573794,59.0,41.0,409.5,409.5
31.5,90.7,16.8,90.7,10.9,90.5,4.6,85.5,1.8,69.1,SL044,863374,6,106654,320799,257772,63027,284911,90.5,0,69923,0.0,542575,62.8,37.2,3394.8,285.1
46.0,89.2,33.6,89.2,28.1,88.9,17.3,83.1,2.1,29.4,SL062,661684,6,0,254612,100402,154210,112879,88.9,0,100586,0.0,407072,61.5,38.5,606.2,443.4
35.9,86.3,26.8,86.3,22.6,86.3,12.7,78.3,1.6,19.1,SL031,37125,0,0,12293,5282,7011,6124,86.3,0,6705,0.0,24832,66.9,33.1,73.0,54.6
22.4,86.1,14.4,86.1,9.7,85.9,2.1,76.5,0.2,34.0,SL057,28839,18,0,7281,5064,2217,5896,85.9,0,4879,0.0,21558,74.8,25.2,85.0,64.8
27.0,86.0,11.8,86.0,6.3,85.5,1.6,74.9,0.4,25.6,SL023_Nelson_Street_Otley,276076,8,0,65776,52186,13590,61017,85.5,0,10199,0.0,210300,76.2,23.8,372.1,269.6
26.5,85.2,12.1,85.2,6.6,84.8,1.7,77.2,0.3,45.8,SL021_Kippax_Church_Lane,591314,3,83662,209126,184343,24783,217335,84.8,0,13952,0.0,382188,64.6,35.4,3332.9,144.0
28.4,84.1,15.4,84.1,10.4,83.8,4.9,76.9,2.3,59.1,SL034,592494,5,114952,241435,205469,35966,245306,83.8,0,27971,0.0,351059,59.3,40.7,3396.9,531.2
22.4,84.2,11.0,84.2,6.1,83.4,1.2,71.0,0.1,20.3,SL045,302522,0,0,71670,57381,14289,68808,83.4,0,21769,0.0,230852,76.3,23.7,552.9,447.3
30.4,82.6,15.7,82.6,9.7,82.0,3.2,72.7,0.5,42.1,SL025_-_Oakwood,984085,15,0,251730,177657,74073,216715,82.0,0,83202,0.0,732355,74.4,25.6,747.6,193.9
30.2,79.6,14.7,79.6,9.1,79.0,2.9,66.7,0.5,22.7,SL006,1061402,6,0,261211,185898,75313,235416,79.0,0,74653,0.0,800191,75.4,24.6,330.8,307.5
21.1,79.2,9.1,79.2,4.8,78.6,1.3,68.9,0.5,15.8,SL028,94404,3,0,17272,13543,3729,17237,78.6,0,17102,0.0,77132,81.7,18.3,177.4,106.1
39.2,79.0,22.2,79.0,14.5,78.5,4.6,67.7,0.7,20.4,SL032,188838,3,0,58422,38068,20354,48483,78.5,0,5600,0.0,130416,69.1,30.9,360.3,105.8
26.9,73.3,11.9,73.3,6.2,72.4,1.0,58.8,0.2,18.7,SL056,551338,6,1,127696,102379,25317,141375,72.4,0,11732,0.0,423642,76.8,23.2,1115.3,531.9
18.7,71.5,4.9,71.5,1.3,70.9,0.1,63.2,0.0,57.2,SL035,693867,9,165685,211754,206328,5426,291097,70.9,0,35273,0.0,482113,69.5,30.5,602.5,258.8
25.0,71.4,10.1,71.4,5.2,70.6,1.9,57.2,0.9,30.3,SL007_Ninelands_Primary,1050937,15,42466,231385,191127,40258,270670,70.6,0,77645,0.0,819552,78.0,22.0,3333.0,357.5
24.9,69.8,10.1,69.8,4.6,68.9,0.5,55.2,0.0,6.8,SL055,427263,17,2,85144,70219,14925,101880,68.9,0,30520,0.0,342119,80.1,19.9,2366.2,477.2
36.2,66.9,24.9,66.9,17.6,66.3,5.3,52.4,0.4,6.5,SL003_Corn_Exchange_Cabinet,575919,18,0,183762,112344,71418,169460,66.3,0,2330,0.0,392157,68.1,31.9,633.4,633.4
32.9,66.1,18.1,66.1,11.8,65.6,3.1,52.6,0.3,10.5,SL042,779393,0,1288,203493,136150,67343,207679,65.6,0,42396,0.0,575900,73.9,26.1,640.5,396.8
21.1,66.3,7.4,66.3,2.9,65.2,0.3,49.9,0.0,25.7,SL020,641465,3,38212,122608,108910,13698,167158,65.2,0,33467,0.0,518857,80.9,19.1,3405.2,235.0
28.8,65.0,12.3,65.0,6.5,64.2,1.2,51.6,0.1,17.5,SL040,668703,0,25,133314,100197,33117,156187,64.2,0,59330,0.0,535389,80.1,19.9,686.2,426.0
30.6,63.2,14.5,63.2,8.6,62.9,1.9,50.0,0.2,9.0,SL060,41545,15,0,9646,7026,2620,11164,62.9,0,1345,0.0,31899,76.8,23.2,92.8,73.6
19.6,61.6,7.2,61.6,2.9,60.0,0.2,39.5,0.0,2.6,SL050,752657,15,427,115432,98657,16775,164535,60.0,0,94981,0.0,637225,84.7,15.3,3332.1,188.0
17.0,60.6,7.2,60.6,3.7,59.5,0.7,41.9,0.1,4.3,SL016_Scholes_Main_Street,739970,6,2,106661,84580,22081,142057,59.5,0,140886,0.0,633309,85.6,14.4,416.3,416.3
26.0,60.0,11.2,60.0,5.8,59.1,0.8,41.2,0.1,3.2,SL_017_-_Boston_Spa_Town_Centre,470878,3,0,84191,62932,21259,106562,59.1,0,16154,0.0,386687,82.1,17.9,361.9,361.9
24.3,58.8,9.0,58.8,4.1,57.6,0.9,37.8,0.1,3.1,SL041,318940,0,0,53664,43730,9934,75919,57.6,0,8463,0.0,265276,83.2,16.8,412.9,266.4
30.2,57.6,20.5,57.6,15.5,57.1,5.5,39.5,0.4,5.6,SL009,168047,0,0,41278,20971,20307,36754,57.1,0,29917,0.0,126769,75.4,24.6,82.7,77.2
