sensor,n_clean_with_rh,pct_at_zero,pct_above_cf_lim,median_rh
SL050,637225,61.5,5.44,100.0
SL006,428563,41.0,2.65,70.0
SL022,407621,40.1,8.5,73.0
SL018,312293,32.0,0.86,65.0
SL028,77132,29.2,2.63,67.0
SL024,906083,24.5,6.84,64.0
SL008,514481,22.8,0.37,62.0
SL023,210300,19.1,2.45,63.0
SL041,265276,18.6,6.87,66.0
SL044,542575,18.3,2.85,62.0
SL003,392157,15.9,11.16,62.0
SL029,163989,15.3,6.53,62.0
SL016,566252,14.7,5.74,62.0
SL040,535389,14.5,6.68,61.0
SL032,130416,14.2,5.57,61.0
SL036,87882,13.7,7.69,60.0
SL033,337764,13.0,10.26,60.0
SL011,542243,11.9,1.75,58.0
SL005,440458,11.7,6.71,59.0
SL015,354593,11.6,8.98,64.0
SL042,446157,11.4,10.1,62.0
SL034,351059,11.0,8.13,61.0
SL054,70180,10.9,9.5,58.0
SL062,407072,10.8,2.39,54.0
SL035,482113,9.6,11.27,59.0
SL026,573794,8.6,3.37,57.0
SL037,145904,8.3,7.14,59.0
SL045,230852,8.3,2.72,59.0
SL020,518857,8.1,6.06,59.0
SL012,808564,7.9,11.09,60.0
SL057,21558,7.7,3.12,42.0
SL055,342119,7.7,5.53,59.0
SL025,732355,7.5,2.76,58.0
SL021,382188,7.1,5.52,59.0
SL017,386687,7.1,7.61,60.0
SL031,24832,7.0,3.2,47.0
SL007,812511,7.0,5.68,59.0
SL009,126769,6.9,9.97,58.0
SL019,637449,6.1,12.67,55.0
SL001,505993,4.7,4.49,55.0
SL068,250961,3.2,3.41,47.0
SL056,423642,3.1,5.7,55.0
SL051,204151,1.9,13.09,46.0
SL060,31899,1.7,11.44,54.0
SL027,760151,1.3,8.7,55.0
SL038,294851,1.2,10.24,54.0
SL030,9332,0.3,1.02,34.0
