sensor,clean_rows,span_days,median_readings_per_hour,pct_hours_well_covered,pct_rows_with_RH
SL024_Wetherby_Town_Centre,742885,1588,25,70.8,100.0
SL012_Morley,672597,1495,24,67.9,100.0
SL007_Ninelands_Primary,655264,1601,23,60.3,99.1
SL035,410357,1096,22,59.0,100.0
SL015_-_Garforth_Main_Street,296565,808,23,57.7,100.0
SL019_Cornwall_Crescent_Rothwell,527495,1400,23,57.7,100.0
SL027_-_SEE_Building_new,609225,1585,21,56.4,100.0
SL006,617921,1601,20,55.3,54.1
SL068,202497,543,25,55.2,100.0
SL016_Scholes_Main_Street,544376,1588,21,54.0,90.6
SL001_Sunnyview_Terrace,438067,1204,20,52.3,90.9
SL025_-_Oakwood,556904,1585,21,51.6,100.0
SL050,520963,1559,25,49.6,100.0
SL040,419752,1435,22,42.8,100.0
SL044,422412,1456,21,42.1,100.0
SL003_Corn_Exchange_Cabinet,315363,1080,17,41.9,100.0
SL020,430417,1562,22,41.5,100.0
SL042,443412,1568,19,40.5,79.7
SL055,275210,1033,23,39.6,100.0
SL005_Kirkstall_Valley_Primary,354015,1312,23,39.3,100.0
SL023_Nelson_Street_Otley,165496,677,17,37.6,100.0
SL033,279017,1195,21,36.8,100.0
SL_017_-_Boston_Spa_Town_Centre,312244,1240,18,36.8,100.0
SL026,419073,1585,15,35.9,100.0
SL008_Westgate_Primary,397062,1579,19,35.8,100.0
SL011,408120,1601,14,34.8,100.0
SL022_Church_Lane_Horsforth,363106,1548,17,34.5,93.0
SL041,215160,995,22,32.6,100.0
SL029,136672,641,24,31.7,100.0
SL021_Kippax_Church_Lane,307121,1508,19,30.3,100.0
SL056,324063,1559,18,30.3,100.0
SL038,244844,1252,25,29.9,100.0
SL062,299180,1538,16,26.7,100.0
SL034,284336,1585,20,26.2,100.0
SL045,192346,1166,23,24.7,100.0
SL018_East_Ardsley_A650,224403,1404,14,22.7,100.0
SL037,117959,854,20,22.1,100.0
SL009,107270,833,22,18.3,100.0
SL032,95553,788,13,16.7,100.0
SL036,76636,721,26,15.9,100.0
SL051,164832,1559,26,15.4,100.0
SL028,64470,633,25,15.0,100.0
SL054,58377,777,23,11.2,100.0
SL057,18611,313,24,8.7,100.0
SL031,20712,422,12,6.6,100.0
SL030,8353,379,28,3.1,100.0
SL060,25174,1105,9,2.8,100.0
