,csi_before,csi_after,recovery,offset_ugm3,gain
SL001,0.756,0.757,0.001,0.22,0.95
SL003,0.587,0.541,-0.046,0.75,1.0
SL005,0.786,0.799,0.013,0.09,0.92
SL006,0.46,0.739,0.279,-0.94,1.1
SL007,0.804,0.831,0.027,-0.06,0.94
SL008,0.682,0.764,0.082,-0.24,0.97
SL009,0.836,0.859,0.023,0.09,0.92
SL011,0.768,0.78,0.012,0.08,0.97
SL012,0.778,0.817,0.039,-0.13,1.08
SL015,0.694,0.748,0.054,0.36,1.09
SL016,0.749,0.815,0.066,-0.09,0.91
SL017,0.755,0.776,0.021,0.22,0.99
SL018,0.536,0.723,0.187,-0.47,1.14
SL019,0.658,0.727,0.069,0.26,1.1
SL020,0.787,0.807,0.02,0.23,1.0
SL021,0.742,0.779,0.037,0.01,1.09
SL022,0.582,0.725,0.143,-0.71,0.99
SL023,0.759,0.687,-0.072,0.27,0.91
SL024,0.727,0.732,0.005,0.05,0.96
SL025,0.788,0.817,0.029,0.04,0.94
SL026,0.781,0.762,-0.019,0.23,0.93
SL027,0.762,0.826,0.064,0.22,1.06
SL028,0.583,0.531,-0.052,0.13,0.94
SL029,0.763,0.762,-0.001,-0.04,0.93
SL032,0.806,0.816,0.01,-0.05,1.06
SL033,0.725,0.765,0.04,-0.02,1.02
SL034,0.775,0.805,0.03,-0.02,1.03
SL035,0.725,0.753,0.028,0.07,1.04
SL036,0.842,0.803,-0.039,0.2,0.94
SL037,0.852,0.858,0.006,-0.04,1.0
SL038,0.759,0.815,0.056,0.2,0.99
SL040,0.778,0.821,0.043,-0.04,0.99
SL041,0.726,0.752,0.026,0.06,0.96
SL042,0.748,0.783,0.035,-0.01,1.04
SL044,0.722,0.764,0.042,0.02,0.92
SL045,0.717,0.743,0.026,0.18,0.85
SL050,0.32,0.637,0.317,-1.92,0.95
SL051,0.318,0.335,0.017,0.39,0.83
SL054,0.776,0.842,0.066,-0.29,1.02
SL055,0.779,0.792,0.013,0.25,0.99
SL056,0.699,0.78,0.081,0.59,1.05
SL062,0.706,0.753,0.047,0.05,0.92
SL068,0.846,0.843,-0.003,0.45,0.9
