,SL001_Sunnyview_Terrace,SL003_Corn_Exchange_Cabinet,SL005_Kirkstall_Valley_Primary,SL006,SL007_Ninelands_Primary,SL008_Westgate_Primary,SL009,SL011,SL012_Morley,SL015_-_Garforth_Main_Street,SL016_Scholes_Main_Street,SL018_East_Ardsley_A650,SL019_Cornwall_Crescent_Rothwell,SL020,SL021_Kippax_Church_Lane,SL022_Church_Lane_Horsforth,SL023_Nelson_Street_Otley,SL024_Wetherby_Town_Centre,SL025_-_Oakwood,SL026,SL027_-_SEE_Building_new,SL028,SL029,SL032,SL033,SL034,SL035,SL036,SL037,SL038,SL040,SL041,SL042,SL044,SL045,SL050,SL051,SL054,SL055,SL056,SL062,SL068,SL_017_-_Boston_Spa_Town_Centre
SL001_Sunnyview_Terrace,905,536,403,558,719,544,151,630,718,318,678,365,649,405,537,374,218,702,639,591,704,22,100,123,431,334,546,88,151,308,504,345,502,605,374,507,49,102,404,434,416,206,550
SL003_Corn_Exchange_Cabinet,536,779,425,344,629,553,169,591,659,512,605,460,633,506,459,412,390,635,551,534,604,94,225,209,304,273,562,123,258,186,352,249,304,487,147,275,73,61,326,234,238,330,565
SL005_Kirkstall_Valley_Primary,403,425,739,333,687,514,194,557,663,376,599,460,573,569,430,506,274,660,609,556,637,64,156,222,328,221,488,77,165,228,437,283,425,471,124,428,105,93,317,379,274,207,431
SL006,558,344,333,739,672,382,69,594,663,158,619,375,538,292,404,440,130,648,603,529,634,0,20,7,245,326,310,20,95,298,463,192,483,484,304,488,9,30,229,467,495,130,406
SL007_Ninelands_Primary,719,629,687,672,1332,847,202,994,1128,498,1008,649,919,823,646,817,366,1248,1134,1006,1176,63,194,214,493,537,667,120,241,424,766,385,697,823,343,909,297,95,438,694,692,250,692
SL008_Westgate_Primary,544,553,514,382,847,953,188,786,796,430,696,481,699,685,546,542,341,869,824,754,816,103,202,262,452,402,590,90,156,278,583,346,488,639,265,606,223,80,440,444,458,257,586
SL009,151,169,194,69,202,188,235,193,227,169,185,137,218,214,177,166,71,216,196,182,208,22,75,123,159,52,222,53,63,113,156,136,156,194,22,138,23,87,148,88,4,54,190
SL011,630,591,557,594,994,786,193,1106,971,469,865,634,813,715,617,702,372,1043,1002,938,992,84,216,236,449,491,614,115,231,334,669,315,594,752,296,699,184,71,418,585,575,271,649
SL012_Morley,718,659,663,663,1128,796,227,971,1295,563,1118,707,1041,824,741,848,424,1258,1110,1011,1167,113,242,277,586,616,789,115,253,432,872,422,790,931,390,856,205,95,532,699,554,241,798
SL015_-_Garforth_Main_Street,318,512,376,158,498,430,169,469,563,574,512,440,556,493,406,422,428,567,500,465,521,113,250,256,263,219,488,123,256,88,289,185,229,429,47,179,70,59,267,160,31,244,504
SL016_Scholes_Main_Street,678,605,599,619,1008,696,185,865,1118,512,1136,667,972,704,694,724,387,1120,996,906,1069,91,201,252,557,576,730,100,236,420,801,403,756,836,382,765,128,93,502,686,479,211,726
SL018_East_Ardsley_A650,365,460,460,375,649,481,137,634,707,440,667,714,649,540,454,559,375,713,685,627,689,94,211,207,283,299,474,109,237,226,440,199,387,518,128,379,84,50,277,364,275,221,496
SL019_Cornwall_Crescent_Rothwell,649,633,573,538,919,699,218,813,1041,556,972,649,1058,706,691,645,419,1035,914,852,986,99,235,264,524,522,780,123,261,403,716,413,668,799,334,642,95,95,516,576,379,230,764
SL020,405,506,569,292,823,685,214,715,824,493,704,540,706,898,545,636,368,894,826,760,829,113,249,270,408,310,602,123,212,257,552,346,471,610,181,574,216,87,422,413,313,200,564
SL021_Kippax_Church_Lane,537,459,430,404,646,546,177,617,741,406,694,454,691,545,750,410,302,747,699,645,704,109,172,236,463,366,616,54,132,302,590,397,555,644,311,506,69,89,516,454,277,158,615
SL022_Church_Lane_Horsforth,374,412,506,440,817,542,166,702,848,422,724,559,645,636,410,899,360,899,823,703,826,77,212,195,276,313,429,119,258,226,489,132,390,561,127,511,176,72,216,379,380,240,454
SL023_Nelson_Street_Otley,218,390,274,130,366,341,71,372,424,428,387,375,419,368,302,360,433,433,408,360,402,104,224,178,172,183,359,104,235,23,200,89,126,318,44,80,52,9,169,121,26,224,371
SL024_Wetherby_Town_Centre,702,635,660,648,1248,869,216,1043,1258,567,1120,713,1035,894,747,899,433,1395,1238,1123,1290,113,250,277,568,651,784,123,261,431,875,417,784,935,394,971,307,95,537,750,665,245,790
SL025_-_Oakwood,639,551,609,603,1134,824,196,1002,1110,500,996,685,914,826,699,823,408,1238,1262,1067,1193,127,261,274,531,610,724,135,243,410,813,379,714,882,367,892,272,92,490,719,630,237,699
SL026,591,534,556,529,1006,754,182,938,1011,465,906,627,852,760,645,703,360,1123,1067,1139,1092,114,227,265,507,580,700,118,236,364,749,362,670,827,336,797,232,75,480,651,561,201,666
SL027_-_SEE_Building_new,704,604,637,634,1176,816,208,992,1167,521,1069,689,986,829,704,826,402,1290,1193,1092,1319,110,242,270,569,639,763,136,252,423,831,404,763,883,389,913,262,89,506,739,620,214,742
SL028,22,94,64,0,63,103,22,84,113,113,91,94,99,113,109,77,104,113,127,114,110,130,118,95,89,106,126,16,7,26,104,57,95,109,28,59,45,0,108,62,0,72,106
SL029,100,225,156,20,194,202,75,216,242,250,201,211,235,249,172,212,224,250,261,227,242,118,267,124,110,126,264,134,141,26,127,56,92,191,31,55,45,1,128,62,2,152,182
SL032,123,209,222,7,214,262,123,236,277,256,252,207,264,270,236,195,178,277,274,265,270,95,124,292,258,199,291,27,75,89,262,145,185,273,13,147,36,66,219,128,0,142,262
SL033,431,304,328,245,493,452,159,449,586,263,557,283,524,408,463,276,172,568,531,507,569,89,110,258,608,382,522,29,68,267,557,328,504,551,296,460,56,86,410,400,193,111,468
SL034,334,273,221,326,537,402,52,491,616,219,576,299,522,310,366,313,183,651,610,580,639,106,126,199,382,683,415,28,73,235,569,210,497,524,273,516,111,13,300,474,352,126,399
SL035,546,562,488,310,667,590,222,614,789,488,730,474,780,602,616,429,359,784,724,700,763,126,264,291,522,415,822,140,244,313,581,425,529,699,303,468,76,95,536,418,196,217,645
SL036,88,123,77,20,120,90,53,115,115,123,100,109,123,123,54,119,104,123,135,118,136,16,134,27,29,28,140,140,122,2,13,1,1,66,1,2,1,2,6,0,2,63,70
SL037,151,258,165,95,241,156,63,231,253,256,236,237,261,212,132,258,235,261,243,236,252,7,141,75,68,73,244,122,271,11,74,10,8,199,11,3,3,10,39,23,4,145,200
SL038,308,186,228,298,424,278,113,334,432,88,420,226,403,257,302,226,23,431,410,364,423,26,26,89,267,235,313,2,11,450,437,309,444,408,253,428,43,87,302,361,235,1,292
