fault,size,csi_self,csi_network,n_days,n_pairs,reference
offset,0.0,1.0,0.788,1275,42,SL025
offset,0.5,0.928,0.771,1275,42,SL025
offset,1.0,0.798,0.691,1275,42,SL025
offset,2.0,0.45,0.496,1275,42,SL025
offset,3.0,0.272,0.341,1275,42,SL025
offset,5.0,0.096,0.181,1275,42,SL025
offset,10.0,0.0,0.028,1275,42,SL025
gain,0.5,0.0,0.365,1275,42,SL025
gain,0.7,0.983,0.672,1275,42,SL025
gain,0.85,1.0,0.753,1275,42,SL025
gain,1.0,1.0,0.788,1275,42,SL025
gain,1.15,1.0,0.792,1275,42,SL025
gain,1.3,0.972,0.774,1275,42,SL025
gain,1.6,0.953,0.697,1275,42,SL025
variance,1.0,1.0,0.788,1275,42,SL025
variance,1.25,0.808,0.639,1275,42,SL025
variance,1.5,0.613,0.507,1275,42,SL025
variance,2.0,0.441,0.355,1275,42,SL025
variance,3.0,0.271,0.233,1275,42,SL025
noise,0.0,1.0,0.788,1275,42,SL025
noise,0.5,0.882,0.703,1275,42,SL025
noise,1.0,0.733,0.604,1275,42,SL025
noise,2.0,0.519,0.451,1275,42,SL025
noise,3.0,0.389,0.364,1275,42,SL025
noise,5.0,0.26,0.258,1275,42,SL025
offset,0.0,1.0,0.804,1332,42,SL007
offset,0.5,0.948,0.773,1332,42,SL007
offset,1.0,0.848,0.684,1332,42,SL007
offset,2.0,0.536,0.491,1332,42,SL007
offset,3.0,0.357,0.341,1332,42,SL007
offset,5.0,0.129,0.181,1332,42,SL007
offset,10.0,0.0,0.017,1332,42,SL007
gain,0.5,0.0,0.391,1332,42,SL007
gain,0.7,0.959,0.696,1332,42,SL007
gain,0.85,1.0,0.779,1332,42,SL007
gain,1.0,1.0,0.804,1332,42,SL007
gain,1.15,1.0,0.793,1332,42,SL007
gain,1.3,0.93,0.759,1332,42,SL007
gain,1.6,0.903,0.65,1332,42,SL007
variance,1.0,1.0,0.804,1332,42,SL007
variance,1.25,0.776,0.599,1332,42,SL007
variance,1.5,0.496,0.425,1332,42,SL007
variance,2.0,0.346,0.291,1332,42,SL007
variance,3.0,0.244,0.195,1332,42,SL007
noise,0.0,1.0,0.804,1332,42,SL007
noise,0.5,0.916,0.729,1332,42,SL007
noise,1.0,0.773,0.621,1332,42,SL007
noise,2.0,0.57,0.467,1332,42,SL007
noise,3.0,0.45,0.375,1332,42,SL007
noise,5.0,0.313,0.267,1332,42,SL007
offset,0.0,1.0,0.779,561,41,SL055
offset,0.5,0.923,0.699,561,41,SL055
offset,1.0,0.843,0.591,561,41,SL055
offset,2.0,0.578,0.389,561,41,SL055
offset,3.0,0.34,0.271,561,41,SL055
offset,5.0,0.118,0.139,561,41,SL055
offset,10.0,0.0,0.024,561,41,SL055
gain,0.5,0.0,0.562,561,41,SL055
gain,0.7,0.963,0.743,561,41,SL055
gain,0.85,1.0,0.779,561,41,SL055
gain,1.0,1.0,0.779,561,41,SL055
gain,1.15,1.0,0.737,561,41,SL055
gain,1.3,0.934,0.667,561,41,SL055
gain,1.6,0.906,0.501,561,41,SL055
variance,1.0,1.0,0.779,561,41,SL055
variance,1.25,0.793,0.647,561,41,SL055
variance,1.5,0.563,0.511,561,41,SL055
variance,2.0,0.364,0.3,561,41,SL055
variance,3.0,0.241,0.176,561,41,SL055
noise,0.0,1.0,0.779,561,41,SL055
noise,0.5,0.911,0.72,561,41,SL055
noise,1.0,0.802,0.618,561,41,SL055
noise,2.0,0.586,0.45,561,41,SL055
noise,3.0,0.435,0.353,561,41,SL055
noise,5.0,0.294,0.234,561,41,SL055
offset,0.0,1.0,0.755,809,42,SL017
offset,0.5,0.956,0.682,809,42,SL017
offset,1.0,0.848,0.578,809,42,SL017
offset,2.0,0.557,0.381,809,42,SL017
offset,3.0,0.339,0.253,809,42,SL017
offset,5.0,0.114,0.129,809,42,SL017
offset,10.0,0.0,0.021,809,42,SL017
gain,0.5,0.0,0.552,809,42,SL017
gain,0.7,0.954,0.729,809,42,SL017
gain,0.85,1.0,0.762,809,42,SL017
gain,1.0,1.0,0.755,809,42,SL017
gain,1.15,1.0,0.717,809,42,SL017
gain,1.3,0.922,0.651,809,42,SL017
gain,1.6,0.9,0.503,809,42,SL017
variance,1.0,1.0,0.755,809,42,SL017
variance,1.25,0.774,0.626,809,42,SL017
variance,1.5,0.499,0.436,809,42,SL017
variance,2.0,0.331,0.28,809,42,SL017
variance,3.0,0.22,0.165,809,42,SL017
noise,0.0,1.0,0.755,809,42,SL017
noise,0.5,0.92,0.7,809,42,SL017
noise,1.0,0.799,0.601,809,42,SL017
noise,2.0,0.564,0.424,809,42,SL017
noise,3.0,0.435,0.335,809,42,SL017
noise,5.0,0.298,0.234,809,42,SL017
