,observed_csi,as_offset,as_gain,as_variance,as_noise,fitted_offset,fitted_gain
SL001,0.756,0.45,0.81,1.06,0.26,0.24,0.94
SL003,0.587,1.37,0.61,1.33,1.22,0.74,1.0
SL005,0.786,0.09,0.94,1.01,0.05,0.09,0.92
SL006,0.46,2.01,0.51,1.58,2.09,-0.95,1.1
SL008,0.682,0.88,0.68,1.18,0.7,-0.24,0.97
SL009,0.836,,,,,0.07,0.92
SL011,0.768,0.3,0.83,1.04,0.18,0.09,0.97
SL012,0.778,0.18,0.88,1.02,0.11,-0.14,1.09
SL015,0.694,0.82,0.69,1.16,0.64,0.35,1.09
SL016,0.749,0.52,0.79,1.07,0.31,-0.13,0.92
SL017,0.755,0.46,0.8,1.06,0.27,0.22,0.99
SL018,0.536,1.63,0.57,1.42,1.55,-0.46,1.14
SL019,0.658,1.01,0.66,1.21,0.82,0.26,1.1
SL021,0.742,0.55,0.77,1.08,0.36,-0.0,1.1
SL022,0.582,1.39,0.6,1.34,1.25,-0.71,0.99
SL023,0.759,0.41,0.81,1.05,0.24,0.32,0.9
SL026,0.781,0.15,0.9,1.02,0.09,0.27,0.91
SL027,0.761,0.39,0.82,1.05,0.23,0.22,1.06
SL028,0.583,1.39,0.6,1.34,1.24,0.13,0.94
SL029,0.763,0.37,0.82,1.05,0.21,-0.03,0.93
SL032,0.806,,,,,-0.06,1.06
SL034,0.775,0.22,0.85,1.03,0.13,-0.0,1.03
SL035,0.725,0.65,0.73,1.11,0.49,0.07,1.04
SL037,0.852,,,,,-0.04,1.0
SL040,0.778,0.18,0.88,1.02,0.11,-0.04,0.99
SL041,0.726,0.64,0.74,1.11,0.48,0.05,0.96
SL042,0.748,0.52,0.79,1.07,0.32,-0.01,1.04
SL044,0.722,0.66,0.73,1.11,0.5,0.02,0.92
SL045,0.717,0.69,0.71,1.12,0.53,0.18,0.85
SL050,0.32,2.99,,2.04,4.03,-1.89,0.95
SL051,0.316,3.04,,2.08,4.1,0.42,0.83
SL055,0.779,0.17,0.88,1.02,0.1,0.25,0.99
SL056,0.699,0.79,0.69,1.15,0.62,0.59,1.05
SL062,0.706,0.75,0.7,1.14,0.58,0.05,0.92
SL068,0.846,,,,,0.45,0.9
