sensor,lifetime_csi,recent_csi,recent_pairs,change,change_vs_network
SL008,0.682,0.233,19.0,-0.449,-0.295
SL024,0.727,0.286,22.0,-0.441,-0.287
SL022,0.582,0.291,22.0,-0.291,-0.137
SL005,0.786,0.511,21.0,-0.275,-0.121
SL006,0.46,0.186,19.0,-0.274,-0.12
SL040,0.778,0.548,22.0,-0.23,-0.076
SL016,0.749,0.576,21.0,-0.173,-0.019
SL020,0.787,0.614,22.0,-0.173,-0.019
SL044,0.722,0.554,14.0,-0.168,-0.014
SL011,0.768,0.6,22.0,-0.168,-0.014
SL012,0.778,0.621,22.0,-0.157,-0.003
SL034,0.775,0.621,21.0,-0.154,0.0
SL027,0.762,0.611,22.0,-0.151,0.003
SL026,0.781,0.652,22.0,-0.129,0.025
SL019,0.658,0.531,19.0,-0.127,0.027
SL042,0.748,0.625,19.0,-0.123,0.031
SL007,0.804,0.684,22.0,-0.12,0.034
SL025,0.788,0.67,22.0,-0.118,0.036
SL056,0.699,0.609,21.0,-0.09,0.064
SL062,0.706,0.629,22.0,-0.077,0.077
SL050,0.32,0.247,22.0,-0.073,0.081
SL018,0.536,0.572,21.0,0.036,0.19
SL051,0.318,0.639,19.0,0.321,0.475
