,SL001_Sunnyview_Terrace,SL003_Corn_Exchange_Cabinet,SL005_Kirkstall_Valley_Primary,SL006,SL007_Ninelands_Primary,SL008_Westgate_Primary,SL009,SL011,SL012_Morley,SL015_-_Garforth_Main_Street,SL016_Scholes_Main_Street,SL018_East_Ardsley_A650,SL019_Cornwall_Crescent_Rothwell,SL020,SL021_Kippax_Church_Lane,SL022_Church_Lane_Horsforth,SL023_Nelson_Street_Otley,SL024_Wetherby_Town_Centre,SL025_-_Oakwood,SL026,SL027_-_SEE_Building_new,SL028,SL029,SL032,SL033,SL034,SL035,SL036,SL037,SL038,SL040,SL041,SL042,SL044,SL045,SL050,SL051,SL054,SL055,SL056,SL062,SL068,SL_017_-_Boston_Spa_Town_Centre
SL001_Sunnyview_Terrace,1.0,0.624,0.847,0.596,0.86,0.812,0.824,0.833,0.837,0.489,0.821,0.675,0.581,0.812,0.778,0.552,0.784,0.819,0.851,0.874,0.783,,0.72,0.752,0.83,0.761,0.688,0.653,0.794,0.832,0.85,0.772,0.774,0.809,0.847,0.227,0.447,0.823,0.864,0.755,0.781,0.867,0.744
SL003_Corn_Exchange_Cabinet,0.624,1.0,0.746,0.581,0.648,0.546,0.713,0.616,0.696,0.821,0.472,0.347,0.648,0.681,0.643,0.6,0.447,0.652,0.559,0.562,0.754,0.222,0.644,0.734,0.614,0.718,0.665,0.642,0.66,0.61,0.624,0.607,0.631,0.455,0.631,0.316,0.086,0.8,0.655,0.576,0.832,0.868,0.702
SL005_Kirkstall_Valley_Primary,0.847,0.746,1.0,0.596,0.885,0.738,0.937,0.795,0.856,0.83,0.752,0.581,0.776,0.857,0.837,0.559,0.812,0.782,0.812,0.83,0.829,0.603,0.852,0.858,0.835,0.783,0.869,0.855,0.901,0.965,0.831,0.9,0.838,0.765,0.857,0.34,0.412,0.87,0.913,0.714,0.782,0.94,0.899
SL006,0.596,0.581,0.596,1.0,0.566,0.597,0.721,0.623,0.475,0.688,0.543,0.42,0.318,0.434,0.406,0.647,0.789,0.596,0.513,0.436,0.367,,,,0.496,0.454,0.361,,0.72,0.344,0.397,0.302,0.329,0.54,0.507,0.361,,0.5,0.294,0.221,0.567,0.822,0.539
SL007_Ninelands_Primary,0.86,0.648,0.885,0.566,1.0,0.722,0.944,0.854,0.908,0.787,0.818,0.68,0.731,0.908,0.86,0.581,0.806,0.721,0.908,0.873,0.871,0.643,0.856,0.847,0.88,0.874,0.807,0.872,0.938,0.891,0.864,0.9,0.892,0.846,0.89,0.279,0.651,0.88,0.919,0.811,0.766,0.868,0.862
SL008_Westgate_Primary,0.812,0.546,0.738,0.597,0.722,1.0,0.87,0.785,0.701,0.576,0.796,0.677,0.555,0.648,0.717,0.566,0.886,0.727,0.745,0.717,0.633,0.804,0.744,0.88,0.784,0.738,0.649,0.869,0.824,0.748,0.805,0.73,0.65,0.874,0.82,0.31,0.242,0.857,0.77,0.598,0.62,0.782,0.703
SL009,0.824,0.713,0.937,0.721,0.944,0.87,1.0,0.886,0.865,0.745,0.922,0.708,0.748,0.924,0.821,0.596,0.862,0.901,0.872,0.903,0.894,,0.919,0.868,0.94,0.81,0.894,0.865,0.883,0.903,0.896,0.933,0.853,0.899,,0.333,,0.919,0.899,0.711,,0.74,0.886
SL011,0.833,0.616,0.795,0.623,0.854,0.785,0.886,1.0,0.81,0.636,0.832,0.704,0.588,0.821,0.683,0.582,0.882,0.688,0.873,0.86,0.732,0.714,0.851,0.847,0.813,0.84,0.681,0.894,0.836,0.751,0.832,0.774,0.689,0.874,0.84,0.233,0.606,0.818,0.818,0.592,0.838,0.838,0.77
SL012_Morley,0.837,0.696,0.856,0.475,0.908,0.701,0.865,0.81,1.0,0.811,0.762,0.624,0.802,0.875,0.821,0.608,0.742,0.733,0.821,0.849,0.901,0.591,0.896,0.884,0.86,0.861,0.85,0.851,0.851,0.919,0.868,0.867,0.89,0.794,0.813,0.246,0.522,0.819,0.854,0.836,0.696,0.866,0.826
SL015_-_Garforth_Main_Street,0.489,0.821,0.83,0.688,0.787,0.576,0.745,0.636,0.811,1.0,0.497,0.411,0.901,0.859,0.843,0.686,0.605,0.788,0.628,0.629,0.86,0.4,0.759,0.803,0.595,0.798,0.827,0.74,0.802,0.909,0.71,0.699,0.9,0.498,0.587,0.358,0.058,0.759,0.76,0.834,,0.864,0.822
