,SL001,SL003,SL005,SL006,SL007,SL008,SL009,SL011,SL012,SL015,SL016,SL017,SL018,SL019,SL020,SL021,SL022,SL023,SL024,SL025,SL026,SL027,SL028,SL029,SL032,SL033,SL034,SL035,SL036,SL037,SL038,SL040,SL041,SL042,SL044,SL045,SL050,SL051,SL054,SL055,SL056,SL062,SL068,network
2022-08-06 00:00:00+00:00,0.976,0.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983,0.996,0.983
2022-09-05 00:00:00+00:00,0.968,0.944,0.97,0.958,0.951,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.958,0.954
2022-10-05 00:00:00+00:00,0.947,0.901,0.976,0.941,0.924,0.812,,0.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915,0.927,0.927
2022-11-04 00:00:00+00:00,0.889,0.792,,0.885,0.856,0.695,,0.884,,,,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889,0.874,0.874
2022-12-04 00:00:00+00:00,0.724,0.565,,0.755,0.752,0.547,,0.745,0.763,0.649,0.577,0.681,0.393,0.712,0.652,,0.719,0.723,0.761,,,0.662,,,,,,,,,,,,,,,,,,,,,,0.712
2023-01-03 00:00:00+00:00,0.672,0.489,,0.717,0.716,0.512,,0.702,0.724,0.633,0.532,0.603,0.366,0.69,0.675,,0.703,0.707,0.746,0.651,0.606,0.599,,,,,,,,,,,,,,,,,,,,,,0.672
2023-02-02 00:00:00+00:00,0.648,0.412,0.67,0.677,0.706,,,0.67,0.678,0.576,0.46,0.549,0.323,0.666,0.658,,0.64,0.669,0.693,0.6,0.613,0.525,,,,,,,,0.657,,,,,0.585,,,,,,,,,0.648
2023-03-04 00:00:00+00:00,0.701,0.436,0.7,0.729,0.746,,,0.675,0.696,0.586,0.525,0.585,0.4,0.708,,0.694,0.673,0.682,0.712,0.641,0.664,0.599,,,,,,0.768,,0.681,,,,,0.576,,,,,,,,,0.678
2023-04-03 00:00:00+00:00,0.785,0.495,0.745,0.751,0.79,,,0.741,0.74,0.626,0.613,0.657,0.516,0.734,,0.72,0.725,0.731,0.762,0.711,0.72,0.711,,,,,,0.802,,0.75,,,,,0.608,,,,,,,,,0.728
2023-05-03 00:00:00+00:00,0.829,0.634,0.854,,0.869,,0.836,0.842,0.816,0.735,0.828,0.741,0.659,0.798,0.896,,0.837,0.782,0.84,0.824,0.833,0.824,,0.885,,,,0.874,0.786,0.834,,,,,0.678,,,,,,,,,0.829
