,n_windows,csi_rel_last,csi_rel_mean,trend_per_yr
SL006,27.0,-0.417,-0.287,-0.154
SL024,46.0,-0.495,-0.08,-0.121
SL022,32.0,-0.335,-0.197,-0.111
SL035,26.0,-0.009,-0.031,-0.108
SL029,9.0,-0.05,-0.005,-0.099
SL019,35.0,-0.05,-0.1,-0.072
SL003,26.0,-0.17,-0.151,-0.068
SL008,31.0,-0.242,-0.132,-0.051
SL005,28.0,0.008,0.01,-0.027
SL023,16.0,-0.061,-0.002,-0.018
SL041,14.0,-0.019,0.013,-0.017
SL050,33.0,-0.54,-0.453,-0.016
SL011,42.0,-0.017,-0.012,-0.014
SL001,28.0,0.018,-0.012,-0.004
SL037,9.0,0.026,0.008,-0.001
SL027,45.0,-0.032,-0.011,0.001
SL015,19.0,-0.042,-0.067,0.002
SL012,43.0,-0.035,0.017,0.005
SL062,26.0,0.017,-0.04,0.005
SL034,21.0,0.05,0.015,0.009
SL020,31.0,0.01,0.028,0.009
SL007,44.0,0.041,0.038,0.01
SL026,45.0,0.033,0.004,0.012
SL042,28.0,-0.005,0.006,0.012
SL025,44.0,0.023,0.017,0.013
SL009,6.0,0.028,0.029,0.018
SL040,30.0,0.02,0.025,0.023
SL021,22.0,0.043,0.004,0.024
SL056,26.0,-0.0,-0.041,0.024
SL055,18.0,0.064,0.036,0.024
SL032,9.0,-0.001,0.009,0.03
SL068,10.0,0.082,0.02,0.03
SL016,41.0,0.09,-0.031,0.037
SL017,29.0,0.02,-0.01,0.042
SL044,31.0,0.06,-0.05,0.044
SL045,14.0,0.035,-0.013,0.046
SL038,14.0,0.088,-0.008,0.059
SL018,19.0,0.025,-0.194,0.097
SL033,20.0,0.012,-0.04,0.152
SL051,9.0,0.047,-0.109,0.268
