sensor,mean_csi,n_pairs,median_overlap_days,pct_ab_flag
SL051,0.316,37,85.0,12.2
SL050,0.32,39,478.0,15.5
SL006,0.46,37,360.0,24.6
SL018,0.536,42,383.0,50.6
SL022,0.582,42,411.0,13.4
SL028,0.583,33,94.0,18.3
SL003,0.587,42,371.0,31.9
SL019,0.658,42,604.0,13.3
SL008,0.682,42,484.0,33.3
SL015,0.694,42,304.0,15.1
SL056,0.699,40,410.0,23.4
SL062,0.706,34,276.0,38.6
SL045,0.717,35,269.0,23.7
SL044,0.722,42,540.0,37.2
SL033,0.725,41,391.0,16.6
SL035,0.725,42,488.0,30.5
SL041,0.726,39,322.0,16.8
SL024,0.728,42,684.0,11.8
SL021,0.742,42,456.0,35.4
SL042,0.748,40,485.0,26.1
SL016,0.749,42,643.0,14.4
SL017,0.755,42,465.0,17.9
SL001,0.756,41,424.0,45.2
SL038,0.759,36,285.0,8.6
SL023,0.759,39,230.0,23.8
SL027,0.761,42,664.0,17.4
SL029,0.763,38,154.0,14.1
SL011,0.768,42,592.0,34.9
SL034,0.775,40,330.0,40.8
SL054,0.776,33,84.0,12.7
SL040,0.778,41,510.0,19.9
SL012,0.778,42,681.0,13.5
SL055,0.779,41,404.0,19.9
SL026,0.781,42,586.0,41.1
SL005,0.786,42,414.0,15.9
SL020,0.787,42,482.0,18.3
SL025,0.788,42,634.0,25.8
SL007,0.804,42,670.0,22.0
SL032,0.806,38,208.0,30.9
SL009,0.836,38,156.0,24.6
SL036,0.842,26,74.0,11.3
SL068,0.846,36,167.0,5.8
SL037,0.852,32,148.0,84.0
