sensor,valid_days,first_day,last_day,mean_daily,max_daily
SL024_Wetherby_Town_Centre,1381,2022-03-22,2026-07-27,3.69,34.93
SL007_Ninelands_Primary,1296,2022-07-14,2026-07-27,4.02,26.67
SL012_Morley,1293,2022-03-09,2026-04-12,5.05,28.67
SL027_-_SEE_Building_new,1258,2022-03-25,2026-07-27,4.92,34.97
SL025_-_Oakwood,1204,2022-03-25,2026-07-27,3.05,23.03
SL016_Scholes_Main_Street,1130,2022-03-23,2026-02-06,3.41,35.5
SL019_Cornwall_Crescent_Rothwell,1044,2022-03-22,2026-01-21,5.9,36.27
SL026,1012,2022-03-30,2026-07-27,3.07,34.91
SL011,990,2022-03-09,2026-07-27,2.51,28.1
SL050,986,2022-04-20,2026-07-27,2.34,23.47
SL044,926,2022-04-13,2026-04-07,2.78,23.22
SL008_Westgate_Primary,920,2022-03-10,2026-07-05,1.94,19.2
SL040,877,2022-04-11,2026-03-17,3.88,43.76
SL022_Church_Lane_Horsforth,875,2022-03-22,2026-06-17,3.55,35.73
SL020,873,2022-10-18,2026-06-15,3.97,26.27
SL001_Sunnyview_Terrace,866,2022-03-09,2025-06-23,3.8,30.25
SL035,820,2022-03-25,2025-03-07,5.31,36.8
SL042,796,2022-04-12,2025-12-14,4.76,37.9
SL_017_-_Boston_Spa_Town_Centre,783,2022-03-22,2025-08-11,4.16,33.67
SL003_Corn_Exchange_Cabinet,770,2022-03-09,2025-02-21,4.94,32.94
SL056,746,2022-04-20,2026-07-27,4.45,39.31
SL005_Kirkstall_Valley_Primary,728,2022-07-06,2026-02-06,3.96,37.11
SL006,723,2022-03-09,2025-12-10,2.34,29.05
SL021_Kippax_Church_Lane,696,2022-03-23,2025-12-02,3.63,35.26
SL062,664,2022-05-12,2026-07-27,2.63,50.44
SL034,639,2022-03-25,2026-07-27,4.14,25.54
SL018_East_Ardsley_A650,584,2022-09-27,2026-01-24,1.79,22.75
SL033,581,2022-03-25,2025-07-03,4.43,27.54
SL015_-_Garforth_Main_Street,573,2022-03-23,2024-04-30,4.93,32.63
SL055,557,2022-04-20,2025-02-14,3.93,30.46
SL038,450,2022-04-11,2025-09-14,5.13,36.2
SL041,432,2022-04-12,2024-12-31,4.02,23.04
SL023_Nelson_Street_Otley,425,2022-03-23,2024-01-28,2.68,28.21
SL045,401,2022-04-11,2025-06-20,3.07,20.59
SL068,377,2022-05-12,2023-11-06,4.01,20.63
SL051,317,2022-04-20,2026-07-27,7.56,36.08
SL032,274,2022-03-25,2024-05-21,3.81,22.57
SL037,268,2022-04-11,2024-07-19,4.06,20.31
SL029,266,2022-03-25,2023-12-26,4.24,35.2
SL009,231,2022-03-10,2024-06-20,4.58,28.44
SL036,140,2022-03-26,2024-03-15,4.52,22.62
SL028,127,2022-03-25,2023-12-19,2.75,22.02
SL054,116,2022-04-20,2024-06-05,4.97,17.28
