,mean_pm25,exceed_days,valid_days,exceed_rate,action
SL001,3.8,36,866,4.16,restore
SL003,4.94,49,770,6.36,restore
SL005,3.96,29,728,3.98,restore
SL006,2.34,10,723,1.38,restore
SL007,4.0,56,1310,4.27,healthy
SL008,1.94,1,920,0.11,visit
SL009,4.58,15,231,6.49,restore
SL011,2.51,10,1000,1.0,watch
SL012,5.05,106,1293,8.2,restore
SL015,4.93,29,573,5.06,restore
SL016,3.41,43,1130,3.81,restore
SL018,1.79,3,584,0.51,restore
SL019,5.9,95,1044,9.1,restore
SL020,3.97,29,873,3.32,healthy
SL021,3.63,20,696,2.87,restore
SL022,3.55,32,875,3.66,watch
SL023,2.68,8,425,1.88,restore
SL024,3.66,59,1395,4.23,visit
SL025,3.06,23,1218,1.89,healthy
SL026,3.07,39,1023,3.81,watch
SL027,4.91,81,1272,6.37,visit
SL028,2.75,3,127,2.36,restore
SL029,4.24,10,266,3.76,restore
SL032,3.81,13,274,4.74,restore
SL033,4.43,44,581,7.57,restore
SL034,4.12,37,648,5.71,watch
SL035,5.31,67,820,8.17,restore
SL036,4.52,6,140,4.29,restore
SL037,4.06,10,268,3.73,restore
SL038,5.13,26,450,5.78,restore
SL040,3.88,44,877,5.02,restore
SL041,4.02,16,432,3.7,restore
SL042,4.76,55,796,6.91,restore
SL044,2.78,16,926,1.73,restore
SL045,3.07,7,401,1.75,restore
SL050,2.32,16,1000,1.6,replace
SL051,7.34,56,331,16.92,visit
SL054,4.97,4,116,3.45,restore
SL055,3.93,21,557,3.77,restore
SL056,4.44,29,760,3.82,visit
SL062,2.62,12,676,1.78,watch
SL068,4.01,9,377,2.39,restore
SL017,4.16,37,783,4.73,restore
