,n_local_hours,lag1,ab_corr,ab_disagree,is_candidate
SL001,56466.0,0.853,0.994,0.172,True
SL003,157386.0,0.444,0.996,0.219,True
SL005,49101.0,0.929,0.997,0.089,True
SL006,77594.0,0.915,0.994,0.115,True
SL008,50608.0,0.694,0.987,0.299,True
SL009,10936.0,0.942,0.993,0.137,True
SL011,27753.0,0.902,0.868,0.172,True
SL012,169359.0,0.832,0.996,0.09,True
SL015,118618.0,0.76,0.996,0.094,True
SL016,61717.0,0.873,0.993,0.079,True
SL017,71306.0,0.746,0.995,0.105,True
SL018,24368.0,0.813,0.939,0.239,True
SL019,121929.0,0.886,0.484,0.052,True
SL021,84120.0,0.722,0.201,0.14,True
SL022,52070.0,0.874,0.994,0.068,True
SL023,31801.0,0.663,0.987,0.185,True
SL026,23800.0,0.896,0.996,0.319,True
SL027,73496.0,0.946,0.997,0.049,True
SL028,8639.0,0.882,0.991,0.146,True
SL029,26442.0,0.888,0.996,0.081,True
SL032,22426.0,0.475,0.987,0.241,True
SL034,38416.0,0.85,0.185,0.122,True
SL035,74906.0,0.885,0.333,0.035,True
SL037,14164.0,0.938,0.991,0.049,True
SL040,57712.0,0.931,0.996,0.092,True
SL041,49104.0,0.852,0.991,0.063,True
SL042,80652.0,0.875,0.412,0.125,True
SL044,55311.0,0.862,0.981,0.189,True
SL045,35706.0,0.68,0.987,0.141,True
SL050,88047.0,0.887,0.479,0.07,True
SL051,15981.0,0.953,0.998,0.01,True
SL055,38641.0,0.93,0.806,0.085,True
SL056,85748.0,0.551,0.995,0.149,True
SL062,12911.0,0.85,0.998,0.243,True
SL068,16686.0,0.944,0.996,0.039,True
SL007,85962.0,0.932,0.991,0.07,False
SL025,62277.0,0.918,0.961,0.13,False
SL020,82738.0,0.851,0.997,0.073,False
