,status,onset,direction,alarm_rate,median_z_after,csi_rel_mean,csi_rel_last,trend_per_yr
SL001,persistent,2022-03-13 00:00:00+00:00,-1,3.24,0.0,-0.012,0.018,-0.004
SL003,persistent,2022-07-25 00:00:00+00:00,1,15.43,0.98,-0.151,-0.17,-0.068
SL008,persistent,2022-07-27 00:00:00+00:00,-1,6.2,-0.8,-0.132,-0.242,-0.051
SL019,persistent,2022-09-26 00:00:00+00:00,1,15.52,1.11,-0.1,-0.05,-0.072
SL015,persistent,2022-10-01 00:00:00+00:00,1,11.17,1.0,-0.067,-0.042,0.002
SL016,persistent,2022-10-11 00:00:00+00:00,-1,3.81,-0.6,-0.031,0.09,0.037
SL018,persistent,2022-10-13 00:00:00+00:00,-1,7.36,-0.68,-0.194,0.025,0.097
SL027,persistent,2022-10-28 00:00:00+00:00,1,7.32,0.82,-0.011,-0.032,0.001
SL044,persistent,2022-12-04 00:00:00+00:00,-1,3.13,-0.57,-0.05,0.06,0.044
SL029,persistent,2023-06-03 00:00:00+00:00,-1,2.26,-0.28,-0.005,-0.05,-0.099
SL021,persistent,2023-06-06 00:00:00+00:00,1,4.02,0.59,0.004,0.043,0.024
SL056,persistent,2023-07-07 00:00:00+00:00,1,11.49,1.07,-0.041,-0.0,0.024
SL012,persistent,2023-09-02 00:00:00+00:00,1,2.8,0.51,0.017,-0.035,0.005
SL051,persistent,2023-11-01 00:00:00+00:00,1,19.57,0.33,-0.109,0.047,0.268
SL042,persistent,2023-11-06 00:00:00+00:00,1,3.39,0.49,0.006,-0.005,0.012
SL050,persistent,2024-02-18 00:00:00+00:00,-1,20.18,-1.76,-0.453,-0.54,-0.016
SL038,persistent,2024-02-29 00:00:00+00:00,1,4.44,0.54,-0.008,0.088,0.059
SL022,persistent,2024-04-08 00:00:00+00:00,-1,8.82,-1.25,-0.197,-0.335,-0.111
SL006,persistent,2024-05-14 00:00:00+00:00,-1,12.17,-1.46,-0.287,-0.417,-0.154
SL035,persistent,2024-07-10 00:00:00+00:00,1,6.83,1.42,-0.031,-0.009,-0.108
SL024,persistent,2025-03-10 00:00:00+00:00,-1,5.6,-1.23,-0.08,-0.495,-0.121
SL045,persistent,2025-03-10 00:00:00+00:00,-1,2.49,-0.65,-0.013,0.035,0.046
SL007,transient,2022-08-20 00:00:00+00:00,1,1.3,-0.02,0.038,0.041,0.01
SL017,transient,2022-11-27 00:00:00+00:00,1,1.66,0.31,-0.01,0.02,0.042
SL033,transient,2023-08-24 00:00:00+00:00,-1,1.55,-0.07,-0.04,0.012,0.152
SL020,transient,2024-06-04 00:00:00+00:00,1,1.83,0.62,0.028,0.01,0.009
SL055,transient,2024-06-05 00:00:00+00:00,1,1.08,0.37,0.036,0.064,0.024
SL005,transient,,0,0.42,,0.01,0.008,-0.027
SL009,transient,,0,1.32,,0.029,0.028,0.018
SL011,transient,,0,0.8,,-0.012,-0.017,-0.014
SL023,transient,,0,0.47,,-0.002,-0.061,-0.018
SL025,transient,,0,0.58,,0.017,0.023,0.013
SL026,transient,,0,0.1,,0.004,0.033,0.012
SL032,transient,,0,1.46,,0.009,-0.001,0.03
SL034,transient,,0,0.31,,0.015,0.05,0.009
SL037,transient,,0,0.37,,0.008,0.026,-0.001
SL040,transient,,0,0.23,,0.025,0.02,0.023
SL041,transient,,0,0.93,,0.013,-0.019,-0.017
SL062,transient,,0,1.74,,-0.04,0.017,0.005
SL068,transient,,0,1.6,,0.02,0.082,0.03
