,n_days,first_alarm,onset,direction,n_alarms,alarm_rate,median_z_before,median_z_after,still_alarming,status
SL001,802,2022-03-13 00:00:00+00:00,2022-03-13 00:00:00+00:00,-1,26,3.24,-1.65,0.0,True,persistent
SL003,726,2022-07-25 00:00:00+00:00,2022-07-25 00:00:00+00:00,1,112,15.43,0.5,0.98,True,persistent
SL008,919,2022-03-16 00:00:00+00:00,2022-07-27 00:00:00+00:00,-1,57,6.2,-0.95,-0.8,True,persistent
SL019,1044,2022-09-26 00:00:00+00:00,2022-09-26 00:00:00+00:00,1,162,15.52,0.84,1.11,True,persistent
SL015,573,2022-10-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,1,64,11.17,0.29,1.0,True,persistent
SL016,1130,2022-10-11 00:00:00+00:00,2022-10-11 00:00:00+00:00,-1,43,3.81,-0.76,-0.6,False,persistent
SL018,584,2022-10-13 00:00:00+00:00,2022-10-13 00:00:00+00:00,-1,43,7.36,-0.77,-0.68,False,persistent
SL027,1270,2022-10-28 00:00:00+00:00,2022-10-28 00:00:00+00:00,1,93,7.32,0.54,0.82,True,persistent
SL044,926,2022-04-15 00:00:00+00:00,2022-12-04 00:00:00+00:00,-1,29,3.13,-1.91,-0.57,False,persistent
SL029,266,2023-05-16 00:00:00+00:00,2023-06-03 00:00:00+00:00,-1,6,2.26,-0.19,-0.28,False,persistent
SL021,696,2022-11-10 00:00:00+00:00,2023-06-06 00:00:00+00:00,1,28,4.02,0.46,0.59,True,persistent
SL056,757,2023-07-07 00:00:00+00:00,2023-07-07 00:00:00+00:00,1,87,11.49,0.5,1.07,True,persistent
SL012,1287,2022-12-05 00:00:00+00:00,2023-09-02 00:00:00+00:00,1,36,2.8,0.25,0.51,True,persistent
SL028,127,2023-10-03 00:00:00+00:00,2023-10-03 00:00:00+00:00,-1,6,4.72,-0.42,-0.87,True,persistent
SL051,327,2023-11-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,1,64,19.57,0.25,0.33,True,persistent
SL042,796,2023-11-06 00:00:00+00:00,2023-11-06 00:00:00+00:00,1,27,3.39,0.2,0.49,True,persistent
SL050,996,2024-02-18 00:00:00+00:00,2024-02-18 00:00:00+00:00,-1,201,20.18,-0.2,-1.76,True,persistent
SL038,450,2023-11-15 00:00:00+00:00,2024-02-29 00:00:00+00:00,1,20,4.44,0.54,0.54,False,persistent
SL022,873,2023-08-25 00:00:00+00:00,2024-04-08 00:00:00+00:00,-1,77,8.82,-0.12,-1.25,True,persistent
SL006,715,2024-05-14 00:00:00+00:00,2024-05-14 00:00:00+00:00,-1,87,12.17,0.0,-1.46,True,persistent
SL035,820,2023-09-25 00:00:00+00:00,2024-07-10 00:00:00+00:00,1,56,6.83,0.22,1.42,True,persistent
SL024,1392,2023-02-14 00:00:00+00:00,2025-03-10 00:00:00+00:00,-1,78,5.6,0.0,-1.23,True,persistent
SL045,401,2023-12-20 00:00:00+00:00,2025-03-10 00:00:00+00:00,-1,10,2.49,-0.45,-0.65,True,persistent
SL007,1308,2022-08-20 00:00:00+00:00,2022-08-20 00:00:00+00:00,1,17,1.3,-0.36,-0.02,False,transient
SL017,783,2022-11-27 00:00:00+00:00,2022-11-27 00:00:00+00:00,1,13,1.66,0.43,0.31,False,transient
SL033,581,2023-08-24 00:00:00+00:00,2023-08-24 00:00:00+00:00,-1,9,1.55,-0.07,-0.07,False,transient
SL020,873,2022-11-14 00:00:00+00:00,2024-06-04 00:00:00+00:00,1,16,1.83,0.19,0.62,True,transient
SL055,556,2023-08-26 00:00:00+00:00,2024-06-05 00:00:00+00:00,1,6,1.08,0.2,0.37,False,transient
SL005,719,2023-09-08 00:00:00+00:00,,0,3,0.42,0.0,,True,transient
SL009,228,2023-04-08 00:00:00+00:00,,0,3,1.32,-0.35,,False,transient
SL011,996,2022-09-10 00:00:00+00:00,,0,8,0.8,-0.27,,False,transient
SL023,425,2023-05-06 00:00:00+00:00,,0,2,0.47,-0.29,,False,transient
SL025,1216,2022-12-15 00:00:00+00:00,,0,7,0.58,-0.09,,False,transient
SL026,1023,2025-01-05 00:00:00+00:00,,0,1,0.1,-0.13,,False,transient
SL032,274,2023-09-17 00:00:00+00:00,,0,4,1.46,0.3,,True,transient
SL034,648,2024-02-21 00:00:00+00:00,,0,2,0.31,-0.03,,False,transient
SL037,268,2023-07-03 00:00:00+00:00,,0,1,0.37,-0.03,,False,transient
SL040,877,2025-02-23 00:00:00+00:00,,0,2,0.23,-0.07,,True,transient
SL041,432,2024-03-09 00:00:00+00:00,,0,4,0.93,0.07,,True,transient
SL062,631,2022-09-26 00:00:00+00:00,,0,11,1.74,-0.33,,False,transient
SL068,313,2022-09-21 00:00:00+00:00,,0,5,1.6,0.32,,False,transient
SL036,140,,,0,0,0.0,-0.21,,False,stable
