,offset_ugm3,gain,fit_lo,fit_hi,bias_lo,bias_hi,bias_max,bias_ref,crossover,n_hours,n_bins_used,r2_bins,site_type,km_from_centre
SL051,0.389,0.83,1.213,19.577,0.182,-2.942,2.942,-2.163,2.286,385.0,10.0,0.902,open / rural,16.96
SL050,-1.915,0.952,1.294,15.96,-1.977,-2.678,2.678,-2.633,-40.029,4632.0,10.0,0.993,open / rural,12.34
SL019,0.261,1.104,1.238,18.509,0.391,2.195,2.195,1.829,-2.501,6384.0,10.0,1.0,residential,6.64
SL015,0.359,1.087,1.112,18.374,0.455,1.955,1.955,1.662,-4.127,3424.0,10.0,0.991,commercial / kerbside,10.59
SL021,0.006,1.094,1.186,17.858,0.118,1.688,1.688,1.418,-0.065,4095.0,10.0,0.999,residential,12.27
SL009,0.088,0.917,1.262,20.271,-0.016,-1.587,1.587,-1.152,1.064,1482.0,10.0,0.999,open / rural,5.76
SL068,0.447,0.899,1.264,19.024,0.319,-1.471,1.471,-1.065,4.432,2158.0,10.0,1.0,school,2.77
SL056,0.586,1.051,1.243,17.327,0.649,1.463,1.463,1.346,-11.563,3960.0,10.0,0.995,commercial / kerbside,0.21
SL012,-0.133,1.085,1.243,18.364,-0.027,1.434,1.434,1.147,1.557,7428.0,10.0,0.996,residential,7.41
SL016,-0.09,0.911,1.236,15.083,-0.199,-1.429,1.429,-1.421,-1.01,6301.0,10.0,0.997,commercial / kerbside,8.38
SL005,0.091,0.923,1.207,19.183,-0.002,-1.393,1.393,-1.069,1.177,4105.0,10.0,0.997,school,2.65
SL045,0.179,0.85,1.337,10.415,-0.021,-1.38,1.38,-2.066,1.199,2533.0,10.0,0.999,open / rural,15.2
SL029,-0.036,0.927,1.282,17.853,-0.131,-1.346,1.346,-1.137,-0.497,2201.0,10.0,0.999,school,7.48
SL044,0.018,0.923,1.214,17.333,-0.076,-1.325,1.325,-1.144,0.231,5770.0,10.0,0.999,residential,13.49
SL027,0.221,1.059,1.237,17.027,0.294,1.223,1.223,1.103,-3.751,6510.0,10.0,0.999,residential,0.81
SL007,-0.056,0.939,1.273,17.6,-0.134,-1.137,1.137,-0.977,-0.915,6720.0,10.0,1.0,school,11.34
SL032,-0.05,1.064,1.158,18.071,0.023,1.097,1.097,0.902,0.795,1999.0,10.0,0.998,residential,2.58
SL022,-0.707,0.986,1.311,16.87,-0.726,-0.95,0.95,-0.923,,4595.0,10.0,0.988,residential,7.35
SL036,0.204,0.937,1.366,17.565,0.118,-0.907,0.907,-0.744,3.232,1444.0,10.0,0.995,open / rural,10.09
SL028,0.131,0.937,1.276,16.394,0.05,-0.905,0.905,-0.817,2.072,718.0,10.0,0.995,open / rural,11.71
SL025,0.038,0.941,1.256,15.794,-0.036,-0.898,0.898,-0.851,0.642,7128.0,10.0,1.0,residential,4.35
SL035,0.07,1.04,1.243,19.284,0.12,0.848,0.848,0.675,-1.738,5659.0,10.0,0.999,commercial / kerbside,1.65
SL006,-0.942,1.097,1.251,6.609,-0.821,-0.3,0.821,0.516,9.694,3417.0,10.0,0.967,school,7.75
SL042,-0.009,1.042,1.256,18.994,0.044,0.796,0.796,0.627,0.221,4562.0,10.0,0.998,residential,6.61
SL003,0.746,0.998,1.12,17.833,0.743,0.704,0.743,0.711,,3054.0,10.0,0.998,commercial / kerbside,0.68
SL060,-0.435,1.046,1.155,24.732,-0.382,0.706,0.706,0.257,9.436,269.0,10.0,0.997,open / rural,5.06
SL024,0.053,0.963,1.258,18.029,0.005,-0.623,0.623,-0.509,1.402,7691.0,10.0,0.999,commercial / kerbside,17.83
SL041,0.056,0.965,1.23,18.97,0.013,-0.602,0.602,-0.464,1.614,2384.0,10.0,0.999,commercial / kerbside,3.59
SL023,0.271,0.914,1.064,9.173,0.179,-0.519,0.519,-1.02,3.148,2443.0,10.0,0.994,residential,14.98
SL031,0.268,0.889,1.305,6.659,0.123,-0.469,0.469,-1.392,2.418,423.0,10.0,0.998,commercial / kerbside,0.22
SL034,-0.017,1.031,1.286,15.493,0.022,0.462,0.462,0.447,0.562,3881.0,10.0,1.0,residential,5.46
SL026,0.228,0.927,1.145,8.847,0.144,-0.421,0.421,-0.873,3.106,5169.0,10.0,1.0,residential,2.47
SL008,-0.236,0.971,1.194,6.333,-0.271,-0.421,0.421,-0.674,-8.093,4351.0,10.0,0.999,school,15.31
