,median_increment,p90_increment,valid_hours,km_from_centre,site_type
SL001,0.64,2.22,17686,2.96,residential
SL003,1.07,3.5,14684,0.68,commercial / kerbside
SL005,0.56,2.1,15741,2.65,school
SL006,0.0,1.1,14936,7.75,school
SL007,0.49,2.28,28239,11.34,school
SL008,0.18,1.53,18367,15.31,school
SL009,0.48,1.58,4391,5.76,open / rural
SL011,0.47,1.75,18805,8.15,residential
SL012,0.75,3.3,28579,7.41,residential
SL015,1.05,4.4,12564,10.59,commercial / kerbside
SL016,0.24,1.45,22325,8.38,commercial / kerbside
SL018,0.04,1.51,11745,8.27,commercial / kerbside
SL019,1.48,4.56,22860,6.64,residential
SL020,0.78,3.0,18142,7.47,residential
SL021,0.88,3.37,13763,12.27,residential
SL022,0.0,1.4,15511,7.35,residential
SL023,0.33,1.7,8635,14.98,residential
SL024,0.43,2.07,31226,17.83,commercial / kerbside
SL025,0.48,2.13,25788,4.35,residential
SL026,0.5,1.76,18916,2.47,residential
SL027,1.1,3.15,27046,0.81,residential
SL028,0.03,1.27,2709,11.71,open / rural
SL029,0.19,2.31,5787,7.48,school
SL031,0.27,1.0,850,0.22,commercial / kerbside
SL032,0.46,2.56,5200,2.58,residential
SL033,0.39,2.3,12994,7.45,residential
SL034,0.61,2.27,12819,5.46,residential
SL035,0.79,3.95,18153,1.65,commercial / kerbside
SL036,0.23,1.8,3087,10.09,open / rural
SL037,0.4,2.11,5929,15.21,open / rural
SL038,1.12,3.44,10459,1.95,school
SL040,0.55,2.31,18900,3.79,open / rural
SL041,0.46,2.97,9279,3.59,commercial / kerbside
SL042,0.81,3.11,15930,6.61,residential
SL044,0.26,1.78,19238,13.49,residential
SL045,0.47,1.87,8234,15.2,open / rural
SL050,-0.22,0.32,21752,12.34,open / rural
SL051,2.22,24.44,6811,16.96,open / rural
SL054,0.38,3.24,2550,19.21,open / rural
SL055,0.82,2.84,12057,6.34,open / rural
SL056,1.5,3.74,15011,0.21,commercial / kerbside
SL057,0.83,1.88,766,12.27,residential
SL060,0.39,3.55,1023,5.06,open / rural
SL062,0.43,1.5,13357,4.57,residential
SL068,0.73,2.07,8726,2.77,school
SL017,0.68,2.73,13810,17.71,commercial / kerbside
