sensor_name,folder,rows,days_with_data,empty_days,span_days,active_coverage_pct,study_coverage_pct,start,end,bad_files
SL001 Sunnyview Terrace,SL001_Sunnyview_Terrace,1038078,1445,0,1446,99.9,88.6,2022-03-07 18:37:08+00:00,2026-02-19 18:57:20+00:00,0
SL003 - Corn Exchange Cabinet,SL003_Corn_Exchange_Cabinet,575937,829,0,1081,76.7,50.8,2022-03-09 14:45:42+00:00,2025-02-22 00:01:37+00:00,0
SL005 Kirkstall Valley Primary,SL005_Kirkstall_Valley_Primary,523797,762,0,1313,58.0,46.7,2022-07-05 08:58:00+00:00,2026-02-06 11:27:41+00:00,0
SL006 - Primrose Hill Primary,SL006,1061408,1491,0,1616,92.3,91.4,2022-03-09 15:09:03+00:00,2026-08-10 23:58:23+00:00,0
SL007 Ninelands Primary,SL007_Ninelands_Primary,1050952,1484,0,1616,91.8,91.0,2022-03-09 15:15:38+00:00,2026-08-10 23:59:22+00:00,0
SL008 Westgate Primary,SL008_Westgate_Primary,771480,1110,0,1580,70.3,68.1,2022-03-09 15:26:26+00:00,2026-07-06 12:12:52+00:00,0
SL009 - Roundhay Golf Club,SL009,168047,254,0,834,30.5,15.6,2022-03-09 15:33:26+00:00,2024-06-20 09:27:33+00:00,0
"SL011 - West End Grove, Horsforth",SL011,832643,1473,0,1616,91.2,90.3,2022-03-09 15:47:23+00:00,2026-08-10 23:58:38+00:00,0
"SL012 - Fountain Street, Morley",SL012_Morley,934514,1304,0,1496,87.2,80.0,2022-03-09 15:51:22+00:00,2026-04-13 05:45:31+00:00,0
SL015 - Garforth Main Street,SL015_-_Garforth_Main_Street,417638,590,0,809,72.9,36.2,2022-03-22 15:59:02+00:00,2024-06-08 00:34:40+00:00,0
SL016 Scholes Main Street,SL016_Scholes_Main_Street,739976,1372,0,1615,85.0,84.1,2022-03-22 16:03:07+00:00,2026-08-22 17:14:55+00:00,0
SL017 - Boston Spa Town Centre,SL_017_-_Boston_Spa_Town_Centre,470881,939,0,1241,75.7,57.6,2022-03-22 16:05:27+00:00,2025-08-14 13:19:10+00:00,0
SL018 East Ardsley A650,SL018_East_Ardsley_A650,632321,1168,0,1406,83.1,71.6,2022-03-22 16:09:41+00:00,2026-01-26 09:17:57+00:00,0
SL019 Cornwall Crescent Rothwell,SL019_Cornwall_Crescent_Rothwell,735371,1184,0,1401,84.5,72.6,2022-03-22 16:11:38+00:00,2026-01-21 12:59:55+00:00,0
SL020- Rothwell Community Hub,SL020,641468,1033,0,1616,63.9,63.3,2022-03-22 16:14:31+00:00,2026-08-23 23:57:17+00:00,0
SL021 Kippax Church Lane,SL021_Kippax_Church_Lane,591317,1255,0,1601,78.4,76.9,2022-03-22 16:16:36+00:00,2026-08-08 17:14:22+00:00,0
SL022 Church Lane Horsforth,SL022_Church_Lane_Horsforth,507381,1022,0,1549,66.0,62.7,2022-03-22 16:20:53+00:00,2026-06-18 03:34:14+00:00,0
SL023 Nelson Street Otley,SL023_Nelson_Street_Otley,276084,485,0,678,71.5,29.7,2022-03-22 16:25:04+00:00,2024-01-29 06:38:17+00:00,0
SL024 Wetherby Town Centre,SL024_Wetherby_Town_Centre,1026679,1435,0,1616,88.8,88.0,2022-03-22 16:28:45+00:00,2026-08-23 23:58:14+00:00,0
SL025 - Oakwood,SL025_-_Oakwood,984100,1439,0,1613,89.2,88.2,2022-03-25 14:29:34+00:00,2026-08-23 23:59:35+00:00,0
SL026 Richmond Avenue,SL026,972136,1368,0,1613,84.8,83.9,2022-03-25 14:31:32+00:00,2026-08-23 23:59:33+00:00,0
SL027 - SEE Building (new),SL027_-_SEE_Building_new,919474,1401,0,1608,87.1,85.9,2022-03-25 14:33:49+00:00,2026-08-19 12:44:27+00:00,0
"SL028 - Spring Gardens, Harewood",SL028,94407,144,0,657,21.9,8.8,2022-03-25 14:35:54+00:00,2024-01-10 14:58:34+00:00,0
SL029 Thorpe Primary School,SL029,190831,271,0,642,42.2,16.6,2022-03-25 14:37:58+00:00,2023-12-26 21:35:07+00:00,0
SL030 Tingley Shire Road,SL030,12491,32,0,380,8.4,2.0,2022-03-25 14:40:07+00:00,2023-04-08 23:50:21+00:00,0
SL031 Millenium Square,SL031,37125,87,0,423,20.6,5.3,2022-03-25 14:41:33+00:00,2023-05-22 09:38:15+00:00,0
"SL032   Armley Library, Stocks Hill",SL032,188841,324,0,789,41.1,19.9,2022-03-25 14:45:09+00:00,2024-05-22 13:51:00+00:00,0
SL033 - Whinmoor Library,SL033,404848,651,0,1196,54.4,39.9,2022-03-25 14:47:02+00:00,2025-07-03 06:34:03+00:00,0
"SL034  - Bramley Library, Hough Lane",SL034,592499,946,0,1613,58.6,58.0,2022-03-25 14:51:02+00:00,2026-08-23 17:15:10+00:00,0
SL035 Armouries Drive,SL035,693876,1065,0,1328,80.2,65.3,2022-03-25 14:51:14+00:00,2025-11-11 20:52:49+00:00,0
SL036 - Bramhope,SL036,99069,142,0,722,19.7,8.7,2022-03-25 14:55:10+00:00,2024-03-15 23:45:59+00:00,0
SL037 Lotherton Hall,SL037,920668,1362,0,1596,85.3,83.5,2022-04-11 13:48:08+00:00,2026-08-23 23:59:22+00:00,0
SL038 Ingram Road Primary,SL038,322612,454,0,1253,36.2,27.8,2022-04-11 13:52:17+00:00,2025-09-15 02:11:37+00:00,0
SL040 Beckett Park,SL040,668703,954,0,1436,66.4,58.5,2022-04-11 13:58:28+00:00,2026-03-17 11:59:05+00:00,0
SL041 - Knowsthorpe Gate,SL041,318940,446,0,996,44.8,27.3,2022-04-11 14:02:36+00:00,2024-12-31 21:28:51+00:00,0
SL042 Manston Grove,SL042,779393,1087,0,1596,68.1,66.6,2022-04-11 14:04:34+00:00,2026-08-23 23:59:31+00:00,0
SL044 Back Granville Terrace,SL044,863380,1230,0,1457,84.4,75.4,2022-04-11 14:11:18+00:00,2026-04-07 12:21:40+00:00,0
SL045 Collingham,SL045,302522,446,0,1167,38.2,27.3,2022-04-11 14:15:25+00:00,2025-06-20 20:26:15+00:00,0
SL050 - Bardsey,SL050,752672,1053,0,1587,66.4,64.6,2022-04-20 12:43:15+00:00,2026-08-23 23:59:13+00:00,0
SL051 - Bramham,SL051,232271,395,0,1587,24.9,24.2,2022-04-20 12:45:12+00:00,2026-08-23 23:59:11+00:00,0
SL054 - Wetherby Racecourse (replacement),SL054,80434,123,0,778,15.8,7.5,2022-04-20 12:51:31+00:00,2024-06-06 09:32:39+00:00,0
SL055 - Temple Newsam,SL055,427280,601,0,1034,58.1,36.8,2022-04-20 12:54:33+00:00,2025-02-17 00:40:07+00:00,0
SL056 - Infirmary Street/East Parade,SL056,551344,889,0,1587,56.0,54.5,2022-04-20 12:58:20+00:00,2026-08-23 23:59:21+00:00,0
SL057 Kippax Church Lane Replacement,SL057,28857,45,0,314,14.3,2.8,2022-04-20 13:00:36+00:00,2023-02-28 06:29:42+00:00,0
SL060 Middleton Parl,SL060,41560,158,0,1118,14.1,9.7,2022-04-20 13:06:49+00:00,2025-05-12 06:21:07+00:00,0
SL062 Stainburn View,SL062,661690,977,0,1566,62.4,59.9,2022-05-11 16:08:44+00:00,2026-08-23 23:59:48+00:00,0
SL068 - Bracken Edge Primary,SL068,266389,385,0,544,70.8,23.6,2022-05-11 16:26:39+00:00,2023-11-06 09:08:58+00:00,0
