,site,action,n_detectors,valid_days,last_day,reason
SL050,SL050 - Bardsey,replace,3,1000,2026-08-10 00:00:00+00:00,"agrees with the network on only 32% of days; reads 2.2 µg/m³ low (offset -1.99, gain 0.98); started reading low on 2024-02-18"
SL008,SL008 Westgate Primary,visit,2,920,2026-07-05 00:00:00+00:00,channels disagree on 22% of readings above 15 µg/m³; started reading low on 2022-07-27
SL024,SL024 Wetherby Town Centre,visit,2,1395,2026-08-10 00:00:00+00:00,"reads 1.1 µg/m³ low (offset +0.10, gain 0.92); started reading low on 2025-03-10"
SL027,SL027 - SEE Building (new),visit,2,1272,2026-08-10 00:00:00+00:00,"reads 1.5 µg/m³ high (offset +0.11, gain 1.10); started reading high on 2022-10-28"
SL051,SL051 - Bramham,visit,2,331,2026-08-10 00:00:00+00:00,agrees with the network on only 31% of days; started reading high on 2023-11-01
SL056,SL056 - Infirmary Street/East Parade,visit,2,760,2026-08-10 00:00:00+00:00,"reads 1.2 µg/m³ high (offset +0.57, gain 1.04); started reading high on 2023-07-07"
SL018,SL018 East Ardsley A650,restore,3,584,2026-01-24 00:00:00+00:00,"channels disagree on 31% of readings above 15 µg/m³; agrees with the network on only 55% of days; started reading low on 2022-10-13, since settled; no data for 198 days"
SL021,SL021 Kippax Church Lane,restore,3,696,2025-12-02 00:00:00+00:00,"channels disagree on 31% of readings above 15 µg/m³; reads 1.2 µg/m³ high (offset -0.02, gain 1.08); started reading high on 2023-06-06; no data for 251 days"
SL044,SL044 Back Granville Terrace,restore,3,926,2026-04-07 00:00:00+00:00,"channels disagree on 30% of readings above 15 µg/m³; reads 1.8 µg/m³ low (offset +0.09, gain 0.88); started reading low on 2022-12-04, since settled; no data for 125 days"
SL001,SL001 Sunnyview Terrace,restore,2,866,2025-06-23 00:00:00+00:00,channels disagree on 33% of readings above 15 µg/m³; started reading low on 2022-03-13; no data for 413 days
SL006,SL006 - Primrose Hill Primary,restore,2,723,2025-12-10 00:00:00+00:00,agrees with the network on only 48% of days; started reading low on 2024-05-14; no data for 243 days
SL015,SL015 - Garforth Main Street,restore,2,573,2024-04-30 00:00:00+00:00,"reads 1.1 µg/m³ high (offset +0.44, gain 1.04); started reading high on 2022-10-01; no data for 832 days"
SL019,SL019 Cornwall Crescent Rothwell,restore,2,1044,2026-01-21 00:00:00+00:00,"reads 1.8 µg/m³ high (offset +0.28, gain 1.10); started reading high on 2022-09-26; no data for 201 days"
SL029,SL029 Thorpe Primary School,restore,2,266,2023-12-26 00:00:00+00:00,"reads 1.1 µg/m³ low (offset -0.06, gain 0.93); started reading low on 2023-06-03, since settled; no data for 958 days"
SL032,"SL032   Armley Library, Stocks Hill",restore,2,274,2024-05-21 00:00:00+00:00,"channels disagree on 20% of readings above 15 µg/m³; reads 1.1 µg/m³ high (offset -0.05, gain 1.08); no data for 811 days"
SL035,SL035 Armouries Drive,restore,2,820,2025-03-07 00:00:00+00:00,channels disagree on 30% of readings above 15 µg/m³; started reading high on 2024-07-10; no data for 521 days
SL003,SL003 - Corn Exchange Cabinet,restore,1,770,2025-02-21 00:00:00+00:00,started reading high on 2022-07-25; no data for 535 days
