,own_excess,nbr_excess,n_excursion_days,mean_nbr_km,shared_fraction,is_candidate
SL001,2.93,2.03,62.0,2.5,0.69,True
SL003,6.5,4.57,63.0,1.6,0.7,True
SL005,3.08,1.87,60.0,1.8,0.61,True
SL006,2.36,1.36,64.0,4.4,0.58,True
SL008,1.06,0.25,78.0,5.2,0.24,True
SL009,3.46,3.0,23.0,2.6,0.87,True
SL011,1.48,0.4,96.0,3.7,0.27,True
SL012,4.71,2.32,102.0,5.1,0.49,True
SL015,5.25,2.46,57.0,3.5,0.47,True
SL016,2.61,2.37,109.0,3.5,0.91,True
SL018,1.84,0.99,72.0,4.5,0.54,True
SL019,5.97,3.09,97.0,3.4,0.52,True
SL020,3.75,2.96,81.0,3.7,0.79,True
SL021,3.24,2.02,75.0,5.1,0.62,True
SL022,4.43,1.93,78.0,3.5,0.44,True
SL023,1.18,0.75,43.0,5.1,0.64,True
SL026,1.72,2.13,99.0,1.9,1.24,True
SL027,4.77,3.46,109.0,1.7,0.73,True
SL029,3.85,3.46,26.0,3.9,0.9,True
SL032,3.49,1.23,28.0,2.1,0.35,True
SL034,3.05,1.16,55.0,2.9,0.38,True
SL035,5.55,3.13,77.0,1.9,0.56,True
SL037,3.71,2.74,26.0,5.9,0.74,True
SL040,3.5,2.17,86.0,2.3,0.62,True
SL041,4.24,3.33,43.0,3.0,0.79,True
SL042,5.51,1.59,77.0,3.1,0.29,True
SL044,1.81,0.54,86.0,4.6,0.3,True
SL045,1.29,1.05,40.0,4.1,0.81,True
SL050,2.94,1.16,82.0,5.1,0.39,True
SL051,26.68,0.23,17.0,6.5,0.01,True
SL056,3.58,2.97,71.0,1.5,0.83,True
SL062,1.69,1.28,51.0,3.0,0.76,True
SL068,3.24,2.17,25.0,2.4,0.67,True
SL025,1.99,1.36,107.0,2.5,0.68,False
SL007,3.26,1.77,107.0,3.8,0.54,False
SL055,3.04,3.1,54.0,3.7,1.02,False
SL017,4.4,2.48,79.0,4.3,0.56,False
