,commute_weekday,commute_weekend,night_weekday,traffic_index,site_type,km_from_centre
SL041,0.71,0.22,0.72,0.49,inner urban,3.59
SL032,0.79,0.48,0.25,0.32,city centre,2.58
SL003,1.99,1.7,0.7,0.29,city centre,0.68
SL021,1.39,1.19,0.99,0.21,suburban,12.27
SL057,0.03,-0.13,0.05,0.15,suburban,12.27
SL023,0.43,0.3,0.01,0.13,suburban,14.98
SL054,0.42,0.31,0.44,0.12,rural,19.21
SL017,0.77,0.66,0.51,0.11,rural,17.71
SL037,0.55,0.47,0.59,0.09,rural,15.21
SL018,0.36,0.27,0.0,0.09,suburban,8.27
SL012,0.98,0.91,0.79,0.08,inner urban,7.41
SL056,1.82,1.75,1.67,0.07,city centre,0.21
SL060,0.35,0.29,0.64,0.06,inner urban,5.06
SL008,0.25,0.2,0.12,0.05,rural,15.31
SL034,0.59,0.54,0.52,0.05,inner urban,5.46
SL045,0.5,0.46,0.39,0.04,rural,15.2
SL035,0.9,0.86,1.13,0.04,city centre,1.65
SL055,0.7,0.67,0.72,0.03,inner urban,6.34
SL068,0.72,0.71,0.85,0.01,city centre,2.77
SL022,0.0,0.0,0.02,0.0,inner urban,7.35
SL001,0.61,0.62,0.59,-0.01,city centre,2.96
SL027,1.33,1.35,1.43,-0.02,city centre,0.81
SL029,0.32,0.34,0.15,-0.02,inner urban,7.48
SL038,1.22,1.23,1.45,-0.02,city centre,1.95
SL007,0.64,0.66,0.73,-0.03,suburban,11.34
SL051,1.75,1.78,1.81,-0.03,rural,16.96
SL033,0.46,0.49,0.37,-0.03,inner urban,7.45
SL050,-0.06,-0.01,0.0,-0.04,suburban,12.34
SL006,0.06,0.11,0.0,-0.04,inner urban,7.75
SL024,0.43,0.48,0.24,-0.05,rural,17.83
SL016,0.19,0.25,0.17,-0.06,suburban,8.38
SL020,0.83,0.89,0.56,-0.06,inner urban,7.47
SL026,0.62,0.68,0.49,-0.06,city centre,2.47
SL009,0.48,0.54,0.52,-0.07,inner urban,5.76
SL011,0.41,0.49,0.23,-0.07,suburban,8.15
SL025,0.49,0.57,0.45,-0.08,inner urban,4.35
SL015,1.4,1.47,0.81,-0.08,suburban,10.59
SL028,0.07,0.15,0.0,-0.08,suburban,11.71
SL019,1.86,1.95,1.96,-0.09,inner urban,6.64
SL005,0.58,0.67,0.68,-0.09,city centre,2.65
SL042,1.27,1.38,1.38,-0.11,inner urban,6.61
SL044,0.26,0.41,0.18,-0.15,suburban,13.49
SL062,0.48,0.63,0.24,-0.16,inner urban,4.57
SL040,0.66,0.83,0.75,-0.17,inner urban,3.79
SL036,0.16,0.36,0.17,-0.2,suburban,10.09
SL031,0.16,0.39,0.15,-0.23,city centre,0.22
