sensor,n_hours,n_flagged,pct_flagged
SL019,8080,690,8.5
SL050,8080,617,7.6
SL056,8080,472,5.8
SL015,8080,417,5.2
SL012,8080,401,5.0
SL035,8080,333,4.1
SL022,8080,325,4.0
SL021,8080,317,3.9
SL003,8080,308,3.8
SL024,8080,279,3.5
SL027,8080,259,3.2
SL042,8080,254,3.1
SL020,8080,245,3.0
SL017,8080,219,2.7
SL007,8080,183,2.3
SL051,8080,180,2.2
SL025,8080,164,2.0
SL038,8080,137,1.7
SL040,8080,132,1.6
SL044,8080,112,1.4
SL001,8080,116,1.4
SL005,8080,107,1.3
SL033,8080,108,1.3
SL006,8080,100,1.2
SL016,8080,89,1.1
SL041,8080,90,1.1
SL055,8080,87,1.1
SL029,8080,62,0.8
SL034,8080,68,0.8
SL032,8080,66,0.8
SL018,8080,48,0.6
SL023,8080,51,0.6
SL068,8080,41,0.5
SL008,8080,40,0.5
SL011,8080,37,0.5
SL045,8080,38,0.5
SL037,8080,34,0.4
SL026,8080,34,0.4
SL036,8080,30,0.4
SL054,8080,28,0.3
SL009,8080,14,0.2
SL028,8080,9,0.1
SL060,8080,7,0.1
SL062,8080,11,0.1
SL031,8080,0,0.0
SL030,8080,0,0.0
SL057,8080,0,0.0
