sensor,n_days,n_flagged,pct_flagged
SL019,1616,266,16.5
SL027,1616,164,10.1
SL012,1616,163,10.1
SL035,1616,156,9.7
SL042,1616,114,7.1
SL015,1616,102,6.3
SL050,1616,93,5.8
SL022,1616,90,5.6
SL003,1616,90,5.6
SL056,1616,88,5.4
SL051,1616,71,4.4
SL020,1616,70,4.3
SL007,1616,69,4.3
SL024,1616,64,4.0
SL017,1616,62,3.8
SL021,1616,49,3.0
SL040,1616,49,3.0
SL033,1616,45,2.8
SL038,1616,46,2.8
SL001,1616,38,2.4
SL041,1616,38,2.4
SL006,1616,37,2.3
SL034,1616,35,2.2
SL005,1616,32,2.0
SL016,1616,31,1.9
SL026,1616,26,1.6
SL055,1616,26,1.6
SL025,1616,24,1.5
SL044,1616,21,1.3
SL029,1616,17,1.1
SL018,1616,17,1.1
SL037,1616,15,0.9
SL068,1616,14,0.9
SL008,1616,14,0.9
SL032,1616,13,0.8
SL054,1616,11,0.7
SL011,1616,10,0.6
SL009,1616,8,0.5
SL062,1616,8,0.5
SL036,1616,7,0.4
SL028,1616,6,0.4
SL045,1616,6,0.4
SL023,1616,5,0.3
